"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, polletno"

"SPOL";"STATISTIÈNA REGIJA";"1999H2";"2000H1";"2000H2";"2001H1";"2001H2";"2002H1";"2002H2";"2003H1";"2003H2";"2004H1";"2004H2";"2005H1";"2005H2";"2006H1";"2006H2";"2007H1";"2007H2";"2008H1";"2008H2";"2009H1";"2009H2";"2010H1";"2010H2";"2011H1";"2011H2";"2012H1";"2012H2";"2013H1";"2013H2";"2014H1";"2014H2";"2015H1";"2015H2";"2016H1";"2016H2";"2017H1";"2017H2";"2018H1";"2018H2";"2019H1";"2019H2";"2020H1";"2020H2";"2021H1";"2021H2";"2022H1";"2022H2"
"Moški";"SLOVENIJA";968463;970812;972581;972742;973711;975002;976111;975587;977436;976802;977092;977052;980070;981465;985876;986982;995125;1000624;996969;1003945;1011767;1014107;1014716;1014563;1015430;1016731;1017414;1019061;1019658;1020874;1021419;1022229;1022554;1023333;1023872;1025125;1025973;1027041;1030234;1038656;1045835;1051066;1054483;1059938;1058128;1057695;1059168
"Ženske";"SLOVENIJA";1017094;1016943;1017691;1017352;1018324;1019024;1019607;1019446;1019337;1019631;1019912;1020538;1021044;1021893;1022640;1023395;1024281;1025242;1025660;1028417;1030568;1032869;1034545;1035626;1037066;1038765;1038848;1039760;1039456;1040211;1040204;1040645;1040523;1040855;1040369;1040770;1040188;1039839;1039816;1042252;1043475;1044795;1045643;1049039;1048879;1049485;1049564
